Ca,Na,Si,K,Mg,F-,Cl-,Br-,SO-,Li,Be,B,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Mo,Cd,Sb,Cs,Ba,Pb,pH
3019.952488,32970.33691,1.362058287,3907.813168,0.13380528,12.24,61898.95,171.04,126.59,193.8394802,0.0001,39.70406707,0.013345214,0.001280908,0.002296025,0.048657011,0.068054939,0.000736704,0.00227502,0.007928317,4.241370331,7.71E-05,0.925665877,29.0626102,444.5333897,0.00308404,0.005855365,0.001809722,0.022432961,17.71209176,35.67165673,0.212553963,10.45
7092.400932,28983.59756,22.35310748,4145.660019,70.42821497,13.21,64017.06,176.37,108.03,200.3343277,0.0001,40.33178816,0.0005,0.001205671,0.001900899,1.560240182,0.143978566,0.000577685,0.003290216,0.007786321,4.351518184,2.50E-06,6.628219383,30.33197055,460.8126261,0.003555927,0.004643371,0.015087544,0.016999639,18.82890068,35.80034286,0.010528633,8.39
2948.325062,34653.98941,1.353627769,4125.908947,0.259872247,12.01,64040.06,176.08,107.15,192.6540076,0.0001,37.34527936,0.0005,0.001008615,0.002868367,0.03304074,0.069044205,0.000243229,0.002147666,0.007917712,4.325650378,2.50E-06,1.409808605,28.33475174,421.9459824,0.00307675,0.003934927,0.00055222,0.007486241,17.56319856,32.99690925,0.013244294,10.49
7201.24054,31449.17679,22.32812047,4495.01524,68.12074631,13.43,63748.38,186.6,118.24,199.1880849,0.0001,39.94800538,0.0005,0.001327711,0.001498022,1.295372449,0.04104279,0.000502635,0.003472607,0.009160625,4.332401667,2.50E-06,6.614244605,29.98216685,454.8172839,0.003353851,0.004168443,0.014441295,0.017310723,18.42962371,34.3438618,0.008445318,8.38
7418.659973,32924.45068,2.463400271,4618.937016,1.349516166,12.9,67035.42,189.58,118.13,196.6676236,0.0001,38.45737108,0.0005,0.00137474,0.001856961,0.040856781,0.046381761,0.000479026,0.002905661,0.007607746,4.214207977,2.50E-06,1.841386461,29.52569286,441.0235361,0.003383391,0.004635624,0.000672981,0.005912056,18.2717679,34.11519209,0.012065347,9.91
7123.661041,30637.9303,21.47555128,4351.508331,67.08042473,13.36,63479.11,179.49,109.5,194.1938655,0.0001,39.14491163,0.0005,0.001290706,0.001544789,1.266504779,0.038338426,0.000516668,0.002881084,0.003947945,3.915035014,2.50E-06,6.268407568,29.02123609,442.0159225,0.003202701,0.004042862,0.014904926,0.010839523,17.94264561,33.88330132,0.009080583,8.41
7538.022423,32236.19156,19.82721314,4594.247818,67.51619428,13.53,70169.97,190.24,136.4,211.7545157,0.0001,41.34097684,0.015451124,0.001204728,0.001253919,1.006343611,0.077053014,0.000569141,0.003382394,0.025801282,3.289779178,6.77E-05,6.378295784,31.19708623,484.2212558,0.003302337,0.004717175,0.014981773,0.010959814,18.82050596,36.54672407,0.047244711,8.49
0.179662788,42292.73376,4.460945353,3825.829697,0.069225649,0,60598.07,164.87,100.17,185.2044778,0.0001,37.8839506,0.034081199,0.001009081,0.004789542,0.023972947,0.093183829,1.00E-05,0.003144777,0.005810894,3.577799387,3.00E-06,1.720214525,28.44778493,421.5477191,0.002793656,0.00437391,0.00090555,0.009971177,16.76206875,32.67561819,0.04352479,10.71
6679.797935,28432.84378,22.09036723,4083.596706,64.25670236,13.27,60060.65,174.07,110.54,180.4562779,0.0001,36.72130596,0.0005,0.001326913,0.002093211,1.43103202,0.067177176,0.000499679,0.002950021,0.003619509,3.213562794,2.50E-06,5.888587046,27.0627869,416.1981293,0.003175372,0.00397058,0.0139415,0.010099359,17.01335686,31.49175283,0.008785584,8.44
2871.435642,35331.44531,1.325833797,4198.049641,1.005870081,0,60464.04,165.42,102.94,172.0680924,0.0001,33.82315592,0.0005,0.001578289,0.002762757,0.004457211,0.078642924,0.000226844,0.002045386,0.00372993,3.114955051,2.50E-06,1.240427013,25.83079365,386.1704691,0.002795126,0.004216027,0.000472211,0.004798056,16.06093564,30.01471672,0.010919864,10.5
7532.48291,32252.38724,26.8129997,4552.867413,80.14782071,13.47,63924.81,182.66,113.09,204.7638554,0.0001,41.00882511,0.0005,0.001203514,0.001283237,2.339319063,0.036952075,0.000638345,0.00264713,0.00381421,3.206128852,8.54E-05,7.280095828,29.65975793,463.9156479,0.003495559,0.004625723,0.018307247,0.016969799,18.28347539,35.62696734,0.042938543,8.41
